loan_id,loan_default
7001,0
7002,0
7003,0
7004,0
7005,0
7006,0
7007,0
7008,1
7009,0
7010,0
7011,0
7012,1
7013,0
7014,0
7015,0
7016,0
7017,1
7018,1
7019,0
7020,1
7021,0
7022,0
7023,0
7024,1
7025,0
7026,0
7027,0
7028,1
7029,0
7030,0
7031,0
7032,0
7033,0
7034,1
7035,1
7036,0
7037,0
7038,1
7039,0
7040,0
7041,0
7042,0
7043,1
7044,0
7045,0
7046,0
7047,0
7048,0
7049,0
7050,0
7051,0
7052,0
7053,1
7054,0
7055,0
7056,0
7057,1
7058,0
7059,0
7060,0
7061,0
7062,0
7063,0
7064,0
7065,1
7066,1
7067,0
7068,0
7069,1
7070,1
7071,0
7072,0
7073,0
7074,0
7075,0
7076,0
7077,0
7078,0
7079,0
7080,0
7081,0
7082,0
7083,1
7084,0
7085,0
7086,0
7087,0
7088,0
7089,0
7090,0
7091,0
7092,0
7093,0
7094,0
7095,0
7096,0
7097,0
7098,0
7099,0
7100,0
7101,0
7102,0
7103,0
7104,0
7105,1
7106,0
7107,0
7108,0
7109,1
7110,1
7111,0
7112,0
7113,0
7114,1
7115,0
7116,1
7117,0
7118,1
7119,0
7120,0
7121,0
7122,1
7123,0
7124,0
7125,1
7126,1
7127,0
7128,0
7129,1
7130,1
7131,1
7132,0
7133,1
7134,1
7135,0
7136,1
7137,0
7138,1
7139,0
7140,0
7141,0
7142,0
7143,0
7144,0
7145,0
7146,0
7147,0
7148,1
7149,0
7150,0
7151,0
7152,1
7153,0
7154,0
7155,1
7156,0
7157,0
7158,1
7159,0
7160,0
7161,0
7162,1
7163,0
7164,0
7165,1
7166,0
7167,0
7168,0
7169,0
7170,0
7171,0
7172,0
7173,1
7174,1
7175,1
7176,0
7177,1
7178,1
7179,0
7180,0
7181,0
7182,0
7183,1
7184,0
7185,0
7186,0
7187,0
7188,0
7189,0
7190,0
7191,0
7192,1
7193,1
7194,0
7195,0
7196,1
7197,0
7198,0
7199,0
7200,0
7201,0
7202,0
7203,0
7204,0
7205,0
7206,0
7207,0
7208,1
7209,1
7210,0
7211,0
7212,0
7213,0
7214,0
7215,1
7216,1
7217,1
7218,0
7219,1
7220,0
7221,1
7222,0
7223,1
7224,0
7225,0
7226,1
7227,0
7228,0
7229,0
7230,0
7231,0
7232,1
7233,0
7234,0
7235,1
7236,1
7237,1
7238,0
7239,1
7240,1
7241,0
7242,0
7243,0
7244,0
7245,1
7246,0
7247,0
7248,0
7249,1
7250,0
7251,0
7252,0
7253,1
7254,0
7255,0
7256,0
7257,0
7258,1
7259,0
7260,0
7261,0
7262,0
7263,0
7264,0
7265,0
7266,0
7267,0
7268,0
7269,0
7270,0
7271,0
7272,0
7273,0
7274,0
7275,1
7276,0
7277,0
7278,0
7279,0
7280,1
7281,0
7282,0
7283,0
7284,0
7285,1
7286,1
7287,0
7288,0
7289,0
7290,0
7291,0
7292,0
7293,1
7294,0
7295,0
7296,1
7297,0
7298,0
7299,0
7300,0
7301,0
7302,0
7303,1
7304,1
7305,0
7306,1
7307,1
7308,1
7309,0
7310,0
7311,0
7312,0
7313,0
7314,1
7315,0
7316,0
7317,0
7318,0
7319,0
7320,0
7321,1
7322,0
7323,0
7324,1
7325,0
7326,0
7327,0
7328,0
7329,0
7330,0
7331,0
7332,0
7333,0
7334,0
7335,0
7336,0
7337,0
7338,0
7339,0
7340,1
7341,0
7342,0
7343,0
7344,0
7345,0
7346,0
7347,0
7348,0
7349,0
7350,1
7351,0
7352,0
7353,0
7354,1
7355,0
7356,0
7357,0
7358,0
7359,0
7360,0
7361,0
7362,0
7363,1
7364,1
7365,0
7366,0
7367,1
7368,0
7369,0
7370,0
7371,1
7372,0
7373,0
7374,0
7375,0
7376,0
7377,0
7378,1
7379,0
7380,0
7381,0
7382,0
7383,0
7384,0
7385,0
7386,0
7387,0
7388,0
7389,1
7390,0
7391,1
7392,1
7393,0
7394,0
7395,0
7396,1
7397,1
7398,1
7399,0
7400,0
7401,0
7402,0
7403,1
7404,0
